id,name,county,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25302,Tabaret,Témiscamingue,Quebec,QC,J0Z,Locality,031L14,46.93778,-79.24056,Témiscamingue,819,America/Montreal
25303,Taber,,Alberta,AB,T1G,Town,082H16,49.78475,-112.15097,Division No.  2,587,America/Edmonton
25304,Table Bay,,Newfoundland and Labrador,NL,A0K,Locality,013H10,53.69456,-56.70604,Division No. 10,709,America/Goose_Bay
25305,Table Head,Cape Breton,Nova Scotia,NS,B1A,Locality,011J04,46.20978,-59.95480,Cape Breton,902,America/Glace_Bay
25306,Tableland,,Saskatchewan,SK,S4A,Locality,062E03,49.14343,-103.17562,Division No.  1,306,America/Regina
25307,Tabor,Fraser-Fort George,British Columbia,BC,V2N,Locality,093G15,53.80000,-122.71667,Fraser-Fort George,250,America/Vancouver
25308,Tabor,Algoma,Ontario,ON,P0S,Locality,041N15,47.79250,-84.51444,Algoma,705,America/Toronto
25309,Tabusintac,Northumberland,New Brunswick,NB,E9H,Locality,021P06,47.32722,-65.01097,Northumberland,506,America/Moncton
25310,Taché,Kenora,Ontario,ON,P0V,Locality,052F09,49.58477,-92.19071,Kenora,807,America/Winnipeg
25311,Tacheeda,Fraser-Fort George,British Columbia,BC,V0J,Locality,093J10,54.68333,-122.60000,Fraser-Fort George,250,America/Vancouver
25312,Tachie,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093K10,54.65278,-124.73194,Bulkley-Nechako,250,America/Vancouver
25313,Tacks Beach,,Newfoundland and Labrador,NL,A0E,Locality,001M09,47.57778,-54.21222,Division No.  2,709,America/St_Johns
25314,Tadanac,Kootenay Boundary,British Columbia,BC,V1R,Locality,082F04,49.11667,-117.71667,Kootenay Boundary,250,America/Vancouver
25315,Tadmore,,Saskatchewan,SK,S0A,Hamlet,062M16,51.83437,-102.47914,Division No.  9,306,America/Regina
25316,Tadoule Lake,,Manitoba,MB,R0B,Locality,064J09,58.71194,-98.48028,Division No. 23,204,America/Winnipeg
25317,Tadoussac,La Haute-Côte-Nord,Quebec,QC,G0T,Town,022C04,48.15000,-69.71667,La Haute-Côte-Nord,581,America/Montreal
25318,Taft,Columbia-Shuswap,British Columbia,BC,V0E,Locality,082L15,50.98333,-118.65000,Columbia-Shuswap,250,America/Vancouver
25319,Tafton,Simcoe,Ontario,ON,L3V,Locality,031D11,44.63639,-79.41722,Simcoe,705,America/Toronto
25320,Taggart,Kenora,Ontario,ON,P0V,Locality,052K01,50.08558,-92.49533,Kenora,807,America/Winnipeg
